CodeId	Abbreviation
2115	f-kporf
2116	du-kporf
2117	b-kporf
2119	bm-kporfox
2120	e-kporfox
2121	du-hcg
2122	s-hcg
2123	u-hcg
2124	u-hcg-o
2125	du-hcg-b
2126	s-hcg-b
2128	p-korsol
2129	s-korsol
2130	du-kors-v
2131	du-krtiin
2132	s-krtiin
2133	u-krtiin
2134	s-ck
2135	s-ck-mb
2136	li-ck-is
2137	s-ck-is
2138	am-krea
2139	as-krea
2140	di-krea
2141	du-krea
2142	fp-krea
2143	fs-krea
2144	pd-krea
2145	u-krea
2146	pt-krea-cl
2147	b-cr
2148	s-cr
2149	u-cr
2150	am-kromos
2151	b-kromos
2152	bm-kromos
2153	l-kromos
2154	sk-kromos
2155	p-kryofib
2156	p-kryog-o
2157	s-kryog-o
2158	p-kryopre
2159	s-kryopre
2160	s-crneab
2161	pt-k-vit-r
2162	li-ksant-o
2163	u-ksan
2164	u-ksan-o
2165	pt-ksyl-r
2166	ly-hla
2167	s-au
2168	u-au
2169	du-cu
2170	s-cu
2171	u-cu
2173	s-kyhemag
2174	e-kyhemol
2175	fs-kylom-o
2176	dj-kymotry
2177	f-kymotry
2178	pa-kymotry
2180	-toukna
2182	ts-laktaas
2183	b-laktaat
2184	fp-laktaat
2186	li-laktaat
2187	s-ld-is
2188	s-ld-hs
2190	af-ld
2191	e-ld
2192	li-ld
2193	pf-ld
2194	s-ld
2195	u-ld
2196	s-hpl
2197	pt-lakt-r1
2198	s-langab
2199	s-lanost
2200	pt-laskple
2201	pt-laskvir
2202	pt-lvp-ver
2203	b-la
2205	s-legiab
2206	-legivi
2207	s-maitab
2209	-leis-o
2210	-leisvi
2211	s-leptab
2213	am-lesit
2214	am-l/s-suh
2215	af-leuk
2216	as-leuk
2217	ex-leuk
2218	b-leuk
2219	li-leuk
2220	pf-leuk
2221	u-leuk
2223	u-leuk-o
2224	af-diffi
2225	b-diffi
2226	dj-diffi
2227	gj-diffi
2228	li-diffi
2229	l-fagosyt
2230	s-grab
2231	s-leuenke
2232	s-lap
2233	u-lap
2234	pt-leu-r
2236	s-lidokai
2238	m-lihas
2239	pt-lihgrip
2240	pt-lihveki
2241	du-lipaas
2242	fs-lipaas
2243	pa-lipaas
2244	u-lipaas
2245	fs-lipidit
2246	li-lipofag
2247	fs-lipoa1
2248	fs-lipob
2249	fs-lipokyl
2250	fs-lipopb
2251	fs-lipox
2252	fs-lipo-fr
2253	sy-lipo
2254	fs-lipo-us
2255	fp-lpl
2256	s-listab
2257	-listvi
2258	s-adrab
2259	li-li
2260	s-li
2261	u-li
2262	fs-litokol
2263	pt-lrh-r
2264	du-lh
2265	s-lh
2266	u-lh
2267	s-lhrh
2269	bm-mggfe
2271	b-pb
2272	du-pb
2273	ha-pb
2274	u-pb
2275	b-lydiff
2276	ts-lydiff
2277	b-lycons
2278	b-lyphas
2280	b-lypwms
2281	ly-cml
2282	p-lvp
2283	p-lyshydr
2284	du-lzm
2285	fl-lzm
2286	lf-lzm
2287	li-lzm
2288	pf-lzm
2289	s-lzm
2290	u-lzm
2291	u-lzm-o
2292	bm-lzm-vr
2293	l-lzm-vr
2294	gj-l��ke-o
2295	u-l��ke-o
2298	di-mg
2299	du-mg
2300	e-mg
2301	f-mg
2302	li-mg
2303	s-mg
2304	sp-mg
2305	u-mg
2306	pt-maha-o
2307	pt-maha-ka
2308	pt-maha-hi
2309	pt-maha-in
2310	pt-maha-pe
2311	pt-maha-ph
2312	pt-maha-tn
2313	s-lkmab
2315	b-plas-o
2316	e-plas-o
2317	s-plasab
2318	ts-maltaas
2319	pt-malt-r
2320	u-mandel
2321	du-mn
2322	p-mn
2323	u-mn
2324	li-mastix
2325	s-mekslet
2326	u-melan-o
2327	ts-mrih
2328	s-msh
2329	s-melaton
2330	s-nemeab
2332	u-mepro
2333	u-mepro-o
2334	u-metad
2335	u-metad-o
2336	du-metnef
2337	du-metnor
2338	s-metnor
2339	b-meoh
2340	s-meoh
2341	s-metalb
2342	b-hb-met
2343	b-hbmet-o
2344	s-metenke
2345	du-moma
2346	s-mtx
2347	pt-metyr-r
2348	du-metmal
2349	s-mians
2350	b-mifi
2351	pt-sydmtfi
2353	pt-sydmtl�
2355	pt-sydmtv�
2357	s-mitoab
2358	s-monab
2359	s-monabs
2360	s-monab-o
2361	p-motil
2362	s-ovarab
2364	af-musii-o
2365	sy-musii-o
2366	-mycoty
2367	s-mypnab
2368	-myplvi
2369	s-myogl
2370	u-myogl
2371	u-myogl-o
2372	af-na
2373	as-na
2374	di-na
2375	dj-na
2376	du-na
2377	e-na
2378	f-na
2379	gj-na
2380	li-na
2381	pd-na
2382	s-na
2383	sa-na
2384	sw-na
2385	sy-na
2386	u-na
2387	pt-na-vaih
2388	l-nbtkoe
2391	s-cya
2392	u-neuram
2393	s-neurot
2394	l-kemotax
2395	ex-neut
2396	ns-neut
2397	u-ni
2398	s-nipam
2399	pt-n2huuht
2400	pt-n2-sb
2403	-nocavi
2404	du-noradr
2405	p-noradr
2406	du-normet
2407	s-normet
2408	s-nortrip
2410	s-5-nukl
2411	pt-sydkatr
2419	pt-sydangr
2420	pt-sydetah
2421	du-oksal
2422	u-oksal-o
2423	s-oxpam
2424	pt-oksim
2426	pt-oksimpa
2429	pt-po2-tc
2434	s-ot
2435	u-opiaa-o
2436	du-orgah
2437	u-orgah-o
2438	s-oct
2440	pt-ortos-r
2441	du-osmol
2442	nu-osmol
2443	s-osmol
2444	u-osmol
2445	pt-paasto
2450	pt-pah-cl
2451	s-paras
2452	s-paras-o
2453	u-paras-o
2454	b-para-o
2455	f-para-o
2456	-para-o
2457	fs-pth
2458	pt-pth-r
2459	s-psolab
2460	bm-pas-vr
2461	l-pas-vr
2462	s-pastab
2463	f-soke-o
2464	fs-pepsin1
2465	fs-pepsin2
2466	b-perklet
2467	pt-perkl-r
2468	am-pero
2469	bm-pero-vr
2470	l-pero-vr
2471	s-bopeab
2472	-bopevi
2473	b-pvk
2474	b-pvk+t
2475	b-pvk+tkd
2476	s-rickab
2477	am-pintj�n
2480	pt-pvol
2481	s-stpnab
2482	-pncavr
2483	s-plihab
2484	s-poliab
2485	du-pbg
2486	u-pbg
2487	u-pbg-o
2488	du-porf
2489	f-porf
2490	u-porf
2492	f-porf-o
2493	u-porf-o
2494	s-prealb
2495	du-pregnd
2496	u-pregnd
2497	du-pregnt
2498	u-pregnt
2499	s-primid
2500	p-fv
2501	du-prog
2502	s-prog
2503	fs-c-pept
2504	p-prokad
2505	s-prokad
2506	p-fvii
2507	s-prl
2508	s-prlrih
2509	p-pg
2510	p-protsul
2511	af-prot
2512	as-prot
2513	du-prot
2514	li-prot
2515	pf-prot
2516	s-prot
2517	se-prot
2518	sy-prot
2519	u-prot
2520	du-prot-fr
2521	li-prot-fr
2522	s-prot-fr
2523	u-prot-fr
2524	li-iep
2525	s-iep
2526	u-iep
2527	af-prot-o
2528	li-prot-o
2529	u-prot-o
2530	s-pbri1
2531	s-pbri2
2532	s-pbri3
2533	s-pbri4
2536	f-pporf
2537	b-pporf
2538	f-pporf-o
2539	e-pporf-o
2540	ly-pporfox
2541	s-protrip
2542	p-fii
2543	p-fiikons
2544	pt-prot-cl
2547	p-fxi
2548	pt-puk-akg
2549	pt-puk-car
2550	pt-puk-jug
2551	pt-puk-per
2552	s-tbeabg
2553	s-tbeabm
2554	b-pyruv
2555	p-pyruv
2556	e-pk
2557	s-cobuab
2560	df-rasvah
2561	fs-ffa
2562	f-rasva-o
2563	pt-fe-r1
2565	fs-tibc
2566	fs-fe
2567	u-fe
2568	pt-fe-ek
2569	e-fe-in
2570	e-fe-vr
2571	pt-fe-vaih
2573	p-rekalsi
2574	fs-renin
2575	ts-res
2579	-rvirag
2580	s-retaba
2581	b-retik
2582	e-retik
2583	s-rbp
2585	s-rfwaro
2587	e-rh
2588	e-rh-ty
2593	s-rnaab
2594	f-rotaag
2597	pt-esoper
2598	pt-esophpm
2599	af-sakka
2601	ts-sakraas
2602	e-sakkhem
2603	pt-sakk-r
2604	s-salis
2605	u-salis
2606	u-salis-o
2607	s-salmab
2608	f-salmvi
2609	s-saptab
2610	s-schiab
2611	-schi-o
2612	-sekrett
2613	p-sekr
2614	pt-sekr-r1
2615	du-se
2616	s-se
2617	u-se
2618	am-sfingom
2619	s-shigab
2620	f-shigvi
2621	u-sial-o
2624	f-side-o
2625	li-siderof
2626	s-sperab
2627	pt-sper-1
2628	pt-sper-2
2629	pt-sper-3
2630	-sienna
2631	-sienvi
2632	-sienvr
2633	s-paroab
2634	s-siliab
2636	b-zn
2637	du-zn
2638	li-zn
2639	p-zn
2640	sp-zn
2643	b-morfo
2644	f-soke-fr
2645	s-soke-fr
2646	u-soke-fr
2648	u-soke-o
2649	u-solerit
2650	af-solut
2651	as-solut
2652	dj-solut
2653	ex-solut
2654	gj-solut
2655	li-solut
2656	ns-solut
2657	pf-solut
2658	sy-solut
2659	p-sommed
2660	s-sommed
2661	s-ghrih
2662	s-sd
2663	am-spektri
2664	li-spektri
2665	-leptna
2666	-leptvi
2667	-leptvr
2669	pt-spirom
2670	pt-spirmvv
2671	pt-spiromd
2672	pt-spiromp
2676	pt-spirtil
2680	pt-fvspiro
2682	pt-fvspird
2684	pt-fvspirp
2697	-stapvi
2698	-sterkon
2699	-strag
2700	s-strdnab
2701	s-streab
2703	ps-strvi
2704	p-fx
2705	s-subst-p
2706	bm-suda-vr
2707	l-suda-vr
2708	af-suhti
2709	as-suhti
2710	du-suhti
2711	li-suhti
2712	nu-suhti
2713	pf-suhti
